file_scope,column_name,description_cn,description_en,unit,type,role,notes
floor_disp.csv,time,时间,Time,s,float,time_history,
floor_disp.csv,u1,第 1 层水平位移,Horizontal displacement of floor 1,m,float,time_history,
floor_disp.csv,u2,第 2 层水平位移,Horizontal displacement of floor 2,m,float,time_history,
floor_disp.csv,u3,第 3 层水平位移,Horizontal displacement of floor 3,m,float,time_history,
floor_disp.csv,u4,第 4 层水平位移,Horizontal displacement of floor 4,m,float,time_history,
floor_disp.csv,u5,第 5 层水平位移,Horizontal displacement of floor 5,m,float,time_history,
story_drift.csv,time,时间,Time,s,float,time_history,
story_drift.csv,drift1,第 1 层层间位移角,Interstory drift ratio of story 1,-,float,time_history,
story_drift.csv,drift2,第 2 层层间位移角,Interstory drift ratio of story 2,-,float,time_history,
story_drift.csv,drift3,第 3 层层间位移角,Interstory drift ratio of story 3,-,float,time_history,
story_drift.csv,drift4,第 4 层层间位移角,Interstory drift ratio of story 4,-,float,time_history,
story_drift.csv,drift5,第 5 层层间位移角,Interstory drift ratio of story 5,-,float,time_history,
base_shear.csv,time,时间,Time,s,float,time_history,
base_shear.csv,base_shear,基底剪力时程,Base shear time history,N,float,time_history,
ei3.txt / northbridge.txt,acceleration,地震动加速度单列数据,Single-column ground motion acceleration record,cm/s2,float,ground_motion,若实际单位不同，应在 ground_motion_info.csv 和 README.md 中同步说明。
optional derived features in processed ML dataset,K_mean_N_per_m,各层初始刚度平均值,Mean initial lateral stiffness of all stories,N/m,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,K_min_N_per_m,各层初始刚度最小值,Minimum initial lateral stiffness among stories,N/m,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,K_max_N_per_m,各层初始刚度最大值,Maximum initial lateral stiffness among stories,N/m,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,K_std_N_per_m,各层初始刚度标准差,Standard deviation of initial lateral stiffness among stories,N/m,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,Qy_mean_N,各层屈服剪力平均值,Mean yield shear force of all stories,N,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,Qy_min_N,各层屈服剪力最小值,Minimum yield shear force among stories,N,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,Qy_max_N,各层屈服剪力最大值,Maximum yield shear force among stories,N,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,Qy_std_N,各层屈服剪力标准差,Standard deviation of yield shear force among stories,N,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,uy1_m,第 1 层屈服位移，通常由 Qy1_N / K1_N_per_m 得到,"Yield displacement of story 1, commonly calculated as Qy1_N / K1_N_per_m",m,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,uy2_m,第 2 层屈服位移，通常由 Qy2_N / K2_N_per_m 得到,"Yield displacement of story 2, commonly calculated as Qy2_N / K2_N_per_m",m,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,uy3_m,第 3 层屈服位移，通常由 Qy3_N / K3_N_per_m 得到,"Yield displacement of story 3, commonly calculated as Qy3_N / K3_N_per_m",m,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,uy4_m,第 4 层屈服位移，通常由 Qy4_N / K4_N_per_m 得到,"Yield displacement of story 4, commonly calculated as Qy4_N / K4_N_per_m",m,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,uy5_m,第 5 层屈服位移，通常由 Qy5_N / K5_N_per_m 得到,"Yield displacement of story 5, commonly calculated as Qy5_N / K5_N_per_m",m,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,yield_drift1,第 1 层屈服层间位移角，通常由 uy1_m / story_height_m 得到,"Yield drift ratio of story 1, commonly calculated as uy1_m / story_height_m",-,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,yield_drift2,第 2 层屈服层间位移角，通常由 uy2_m / story_height_m 得到,"Yield drift ratio of story 2, commonly calculated as uy2_m / story_height_m",-,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,yield_drift3,第 3 层屈服层间位移角，通常由 uy3_m / story_height_m 得到,"Yield drift ratio of story 3, commonly calculated as uy3_m / story_height_m",-,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,yield_drift4,第 4 层屈服层间位移角，通常由 uy4_m / story_height_m 得到,"Yield drift ratio of story 4, commonly calculated as uy4_m / story_height_m",-,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
optional derived features in processed ML dataset,yield_drift5,第 5 层屈服层间位移角，通常由 uy5_m / story_height_m 得到,"Yield drift ratio of story 5, commonly calculated as uy5_m / story_height_m",-,float,derived_feature,如果 summary_results_all.csv 中没有该列，可忽略本行。
